aika	acc_x	acc_y	acc_z	gyro_x gyro_y gyro_z
84.00	-0.02	-0.00	-1.00	0.02	-0.19	0.01	
85.00	-0.02	0.04	-0.99	-0.27	-0.11	-0.12	
86.00	0.01	0.03	-1.01	0.32	0.02	-0.59	
87.00	0.01	-0.04	-0.99	0.01	-0.34	0.24	
88.00	-0.01	-0.01	-0.99	0.61	-0.61	-0.10	
89.00	-0.02	-0.02	-1.01	-0.50	-0.58	8.12	
90.00	-0.02	-0.00	-1.00	-0.64	0.05	-6.69	
91.00	-0.01	0.02	-1.00	-0.66	-0.89	-7.44	
92.00	0.00	0.02	-0.99	0.15	0.11	-1.08	
93.00	-0.00	0.00	-1.00	-0.07	0.60	-7.41	
94.00	-0.01	0.02	-0.99	-0.17	-0.19	-3.43	
95.00	-0.01	0.04	-1.00	-0.57	-19.10 -24.44	
96.00	-0.02	0.00	-1.00	-0.60	-5.29	-7.85	
97.00	-0.05	-0.00	-0.98	-0.47	1.02	-2.78	
98.00	-0.01	0.03	-1.00	-0.43	-2.20	-4.02	
99.00	-0.01	0.01	-1.00	-0.38	-1.28	-10.40
